,PropertyName,PropertyAddress,City,SalePrice,Square_Footage,Units,Price_SF,Price_Unit,SaleDate,Buyer,Seller,Link,year
0,Margaritaville Hollywood Beach Resort,1111 N Ocean Blvd,Hollywood,270000000,666300,369,405.22,731707,Sep-21,Pebblebrook Hotel Trust,KSL Capital Partners,https://www.bizjournals.com/southflorida/news/2021/06/23/margaritaville-resort-to-sell-for-270m.html,2021
1,EAST Miami,788 Brickell Plz,Miami,174000000,536070,352,324.58,494318,Oct-21,Trinity Investments,Swire Properties,https://www.bizjournals.com/southflorida/news/2021/11/01/east-miami-hotel-sold.html,2021
2,Four Seasons,1441 Brickell Ave,Miami,130000000,263867,221,492.67,588235,Jul-21,Fort Partners,Westbrook Partners,https://therealdeal.com/miami/2021/07/15/fort-partners-buys-four-seasons-brickell-hotel-for-130m/,2021
3,B Ocean Resort,1140 Seabreeze Blvd,Fort Lauderdale,126875000,368646,481,344.16,263773,Oct-21,JV: Rockpoint Group & InSite Group,Carlyle Group,https://www.bizjournals.com/southflorida/news/2021/10/19/b-ocean-resort-in-fort-lauderdale-sold-for-127m.html,2021
4,The Ben,251 N Narcissuc Ave,West Palm Beach,106400000,146746,208,725.06,511538,Oct-21,Wheelock Street Capital,Concord Hospitality,https://therealdeal.com/miami/2021/10/08/wheelock-pays-106m-for-the-ben-hotel-near-downtown-west-palm-beach/,2021
5,Celino South Beach,640 Ocean Dr,Miami Beach,81453800,59359,132,1372.22,617074,Jul-21,CGI Merchant Group,Optimum Asset Management,https://therealdeal.com/miami/2021/08/05/hospitality-fund-that-counts-a-rod-among-investors-buys-renovated-ocean-drive-hotel/,2021
6,Hotel AKA Brickell,1395 Brickell Ave,Miami,75330000,212503,201,354.49,374776,Oct-21,JV: Electra America & AKA,JV: Mast Capital & Angelo Gordon,https://www.bizjournals.com/southflorida/news/2021/11/08/price-revealed-for-sale-of-conrad-miami-hotel.html,2021
7,Como Metropolitan Miami Beach,2445 Collins Ave,Miami Beach,70000000,53328,74,1312.63,945946,Aug-21,JHSF,COMO Hotels and Resorts,https://www.bizjournals.com/southflorida/news/2021/08/30/como-metropolitan-hotel-sold-for-70m.html,2021
8,Hampton Inn & Suites and AC Hotel by Marriott Midtown Miami,3450 & 3400 Biscayne Blvd,Miami,61000000,280000,304,217.86,200658,Jun-21,TPG Real Estate Partners,3H Group Hotels,https://www.bizjournals.com/southflorida/news/2021/06/10/miami-midtown-hotels-sell-for-61-million.html,2021
9,Fort Lauderdale Marriott Pompano Beach,1200 N Ocean Blvd,Pompano Beach,54000000,184184,219,293.19,246575,Dec-21,JV: Key International & Wexford Real Estate Investors,Pan Am Equities,https://www.bizjournals.com/southflorida/news/2021/12/02/key-international-wexford-buy-pompano-marriott.html,2021
